date,open,high,low,close,volume,symbol,name
2022-06-03 13:00:00,312.21,313.08,310.3977,310.94,978972,BRK.B,Berkshire Hathaway Class B
2022-06-02 13:00:00,312.565,315.09,311.9104,315,1287294,BRK.B,Berkshire Hathaway Class B
2022-06-01 13:00:00,311.53,314.45,311.4101,312.21,1432479,BRK.B,Berkshire Hathaway Class B
2022-05-31 13:00:00,317.7712,318.67,315.68,315.98,2066446,BRK.B,Berkshire Hathaway Class B
2022-05-27 13:00:00,315.15,320,314.77,320,1617208,BRK.B,Berkshire Hathaway Class B
2022-05-26 13:00:00,314,314.39,312.08,312.429,1424605,BRK.B,Berkshire Hathaway Class B
2022-05-25 13:00:00,306.83,309.74,305.92,308,1781423,BRK.B,Berkshire Hathaway Class B
2022-05-24 13:00:00,305.97,310,305.1798,309.645,1549102,BRK.B,Berkshire Hathaway Class B
2022-05-23 13:00:00,310.205,311.1203,308.795,310.2,1666040,BRK.B,Berkshire Hathaway Class B
2022-05-20 13:00:00,300.17,304.7,298.11,304.16,2194259,BRK.B,Berkshire Hathaway Class B
2022-05-19 13:00:00,303.35,305.91,301.97,303.7501,1877221,BRK.B,Berkshire Hathaway Class B
2022-05-18 13:00:00,309.62,309.62,305.4293,306.19,2126371,BRK.B,Berkshire Hathaway Class B
2022-05-17 13:00:00,314.8,314.9,312.1,314.8,1383955,BRK.B,Berkshire Hathaway Class B
2022-05-16 13:00:00,310.04,311.95,308.85,309.0101,1415933,BRK.B,Berkshire Hathaway Class B
2022-05-13 13:00:00,310.88,311.69,307.9001,310.36,1673110,BRK.B,Berkshire Hathaway Class B
2022-05-12 13:00:00,305.1,308.23,302.55,306.69,2322450,BRK.B,Berkshire Hathaway Class B
2022-05-11 13:00:00,313.7877,314.5899,311.01,311.96,1866063,BRK.B,Berkshire Hathaway Class B
2022-05-10 13:00:00,311.44,315.72,310.85,312.53,1827514,BRK.B,Berkshire Hathaway Class B
2022-05-09 13:00:00,314.6,315.935,311.56,313.1066,2162894,BRK.B,Berkshire Hathaway Class B
2022-05-06 13:00:00,318.35,320.372,315.41,318.8,1847183,BRK.B,Berkshire Hathaway Class B
2022-05-05 13:00:00,318.2587,319.91,315.85,318.68,2148557,BRK.B,Berkshire Hathaway Class B
2022-05-04 13:00:00,321.19,327.8177,318.8488,327,2467500,BRK.B,Berkshire Hathaway Class B
2022-05-03 13:00:00,321.93,323.04,318.27,319.05,1636184,BRK.B,Berkshire Hathaway Class B
2022-05-02 13:00:00,316.06,318.3,311.74,318.19,3383191,BRK.B,Berkshire Hathaway Class B
2022-04-29 13:00:00,325.45,326.59,320.5,323.8,2506272,BRK.B,Berkshire Hathaway Class B
2022-04-28 13:00:00,330.865,332.06,330,331.25,1579356,BRK.B,Berkshire Hathaway Class B
2022-04-27 13:00:00,332.8,333.135,329.19,329.58,1446812,BRK.B,Berkshire Hathaway Class B
2022-04-26 13:00:00,334.19,334.38,329,329,1954114,BRK.B,Berkshire Hathaway Class B
2022-04-25 13:00:00,332.25,337.85,331.63,337,1507943,BRK.B,Berkshire Hathaway Class B
2022-04-22 13:00:00,339.635,339.7,334.0146,334.67,2110031,BRK.B,Berkshire Hathaway Class B
2022-04-21 13:00:00,346.375,346.82,342.96,343.43,1520629,BRK.B,Berkshire Hathaway Class B
2022-04-20 13:00:00,348.97,349.4,347.7,348.97,1105780,BRK.B,Berkshire Hathaway Class B
2022-04-19 13:00:00,346.505,349.04,345.85,348.5,1057378,BRK.B,Berkshire Hathaway Class B
2022-04-18 13:00:00,346.16,347.4999,344.85,347.21,910669,BRK.B,Berkshire Hathaway Class B
2022-04-14 13:00:00,345.07,346.69,344.14,344.15,1326456,BRK.B,Berkshire Hathaway Class B
2022-04-13 13:00:00,346.45,347.23,345.3,346.22,1449358,BRK.B,Berkshire Hathaway Class B
2022-04-12 13:00:00,352.1,352.64,348.39,349.79,1645035,BRK.B,Berkshire Hathaway Class B
2022-04-11 13:00:00,352.075,353.16,351.2,352.02,1226493,BRK.B,Berkshire Hathaway Class B
2022-04-08 13:00:00,353.06,353.85,352.1435,353.2479,1748144,BRK.B,Berkshire Hathaway Class B
2022-04-07 13:00:00,344.95,347.67,344.9,346.68,1831685,BRK.B,Berkshire Hathaway Class B
2022-04-06 13:00:00,345.375,345.86,343.7,344.71,2015835,BRK.B,Berkshire Hathaway Class B
2022-04-05 13:00:00,348.14,348.6,344.28,344.32,1401631,BRK.B,Berkshire Hathaway Class B
2022-04-04 13:00:00,344.54,346.39,344.31,345.38,2250667,BRK.B,Berkshire Hathaway Class B
2022-04-01 13:00:00,350.52,352.21,349.02,351.54,1888967,BRK.B,Berkshire Hathaway Class B
2022-03-31 13:00:00,358.175,358.4371,352.11,353.429,2908281,BRK.B,Berkshire Hathaway Class B
2022-03-30 13:00:00,355.05,358.6,354.27,358.35,1523940,BRK.B,Berkshire Hathaway Class B
2022-03-29 13:00:00,353.99,355.81,352.55,354.81,2032682,BRK.B,Berkshire Hathaway Class B
2022-03-28 13:00:00,356.52,360.05,355.53,359.82,1542668,BRK.B,Berkshire Hathaway Class B
2022-03-25 13:00:00,356.44,359.03,355.8,358.8,1746655,BRK.B,Berkshire Hathaway Class B
2022-03-24 13:00:00,351.03,352.5694,350,352.35,1786575,BRK.B,Berkshire Hathaway Class B
2022-03-23 13:00:00,348.07,350.41,347.1165,348.16,2123394,BRK.B,Berkshire Hathaway Class B
2022-03-22 13:00:00,352.25,352.37,348.9,351.2,2473750,BRK.B,Berkshire Hathaway Class B
2022-03-21 13:00:00,348.8801,351,347.87,351,2497453,BRK.B,Berkshire Hathaway Class B
2022-03-18 13:00:00,340.4224,343.55,340.4224,343.53,2316671,BRK.B,Berkshire Hathaway Class B
2022-03-17 13:00:00,343.24,345.13,342.06,344.45,3040624,BRK.B,Berkshire Hathaway Class B
2022-03-16 13:00:00,335.76,337.69,331.7117,337,2457083,BRK.B,Berkshire Hathaway Class B
2022-03-15 13:00:00,332.83,333.38,330.14,332.55,2557743,BRK.B,Berkshire Hathaway Class B
2022-03-14 13:00:00,330.0275,331,327.95,330.7,2438032,BRK.B,Berkshire Hathaway Class B
2022-03-11 12:00:00,328.7329,329.95,326.23,326.65,1986896,BRK.B,Berkshire Hathaway Class B
2022-03-10 12:00:00,322.445,325.7,322.11,325.01,1706450,BRK.B,Berkshire Hathaway Class B
2022-03-09 12:00:00,325.34,327.47,324.81,325.51,2328670,BRK.B,Berkshire Hathaway Class B
2022-03-08 12:00:00,320.5,327.29,318.03,318.25,3505158,BRK.B,Berkshire Hathaway Class B
2022-03-07 12:00:00,324.1288,324.19,320.35,322.5,2527705,BRK.B,Berkshire Hathaway Class B
2022-03-04 12:00:00,321.85,325.61,321.2916,325.17,2414951,BRK.B,Berkshire Hathaway Class B
2022-03-03 12:00:00,324.13,329.1893,324.12,327.73,2095319,BRK.B,Berkshire Hathaway Class B
2022-03-02 12:00:00,324.61,325.75,322.7674,323.55,2004562,BRK.B,Berkshire Hathaway Class B
2022-03-01 12:00:00,314.31,317.5,313.59,316.84,2632495,BRK.B,Berkshire Hathaway Class B
2022-02-28 12:00:00,320.41,321.98,316.5812,321.22,2778481,BRK.B,Berkshire Hathaway Class B
2022-02-25 12:00:00,318.445,321.43,317.45,319.23,3456991,BRK.B,Berkshire Hathaway Class B
2022-02-24 12:00:00,301.8425,308.81,299.51,308.47,4216425,BRK.B,Berkshire Hathaway Class B
2022-02-23 12:00:00,313.095,314.21,309.38,310.06,2533161,BRK.B,Berkshire Hathaway Class B
2022-02-22 12:00:00,315.17,315.43,310.55,314.15,2388687,BRK.B,Berkshire Hathaway Class B
2022-02-18 12:00:00,313.545,315.4196,313.08,314.82,1804718,BRK.B,Berkshire Hathaway Class B
2022-02-17 12:00:00,314.445,315.44,312.945,313.44,1582981,BRK.B,Berkshire Hathaway Class B
2022-02-16 12:00:00,315.66,316.9,314.28,315.65,1941140,BRK.B,Berkshire Hathaway Class B
2022-02-15 12:00:00,316.1,316.61,314.6901,316.12,1612589,BRK.B,Berkshire Hathaway Class B
2022-02-15 15:00:00,315.43,316.25,314.6901,315.9,914874,BRK.B,Berkshire Hathaway Class B
2022-02-15 11:00:00,316.9,317.16,314.92,315.395,1071169,BRK.B,Berkshire Hathaway Class B
2022-02-14 15:00:00,313.48,315.16,312.75,314.79,1331466,BRK.B,Berkshire Hathaway Class B
2022-02-14 11:00:00,313.37,314.99,312.17,313.38,1873135,BRK.B,Berkshire Hathaway Class B
2022-02-11 15:00:00,319.01,320.23,317.74,319.15,1385120,BRK.B,Berkshire Hathaway Class B
2022-02-11 11:00:00,322.1,323.12,318.08,319.04,1935137,BRK.B,Berkshire Hathaway Class B
